RECUT SHEET — true silhouettes for the undersized panels

affected panels        : 52
silhouettes built      : 52
laid out at            : (0, 2600), packed to 850 mm wide, block is 208 x 290 mm
total part area        : 79277 mm2  (0.08 m2)
layers                 : Recut::Outlines (magenta), Recut::Labels

part        short   machined       true     extra   extra%  note
------------------------------------------------------------------------------
6.7         4.35      657.5      948.4     290.9    44.2%  ok
6.6         4.35      758.4      834.6      76.2    10.1%  ok
6.32        4.24      175.0      324.6     149.6    85.5%  ok
6.1         4.24     2738.6     2866.5     127.9     4.7%  ok
6.16        4.20      591.7      883.9     292.2    49.4%  ok
6.15        4.20     2441.7     2985.2     543.5    22.3%  ok
5.5         4.14    14712.4    15027.1     314.7     2.1%  ok
5.11        4.14     2048.3     2439.9     391.6    19.1%  ok
6.20        4.07      528.1      834.8     306.8    58.1%  ok
6.19        4.07     2415.0     2973.2     558.2    23.1%  ok
6.33        4.06      221.0      418.0     197.0    89.1%  ok
6.31        4.06      257.0      274.0      17.0     6.6%  ok
7.1         4.03       55.5       68.9      13.4    24.2%  ok
7.23        4.03      928.5     1058.5     130.0    14.0%  ok
7.12        4.01      758.7     1229.6     470.9    62.1%  ok
7.24        4.01      127.5      234.6     107.1    84.0%  ok
7.22        4.01     1347.1     1537.7     190.6    14.1%  ok
14.3        4.01      261.8      327.4      65.5    25.0%  ok
14.2        4.01      275.1      340.3      65.2    23.7%  ok
7.13        4.01     3926.1     4460.9     534.8    13.6%  ok
7.14        4.01      764.0     1032.6     268.7    35.2%  ok
2.3         4.00     5021.5     5447.4     425.9     8.5%  ok
5.8         4.00      306.9      423.6     116.7    38.0%  ok
2.13        4.00     1452.7     1540.3      87.6     6.0%  ok
8.6         4.00      959.6     1156.1     196.5    20.5%  ok
6.11        4.00      260.0      279.3      19.3     7.4%  ok
4.3         4.00      864.6      997.1     132.5    15.3%  ok
6.24        4.00       28.8       51.7      23.0    79.8%  ok
2.1         4.00      526.6      698.9     172.3    32.7%  ok
5.4         4.00     2438.1     2902.6     464.5    19.1%  ok
8.7         4.00      635.0      831.1     196.1    30.9%  ok
4.4         4.00     1618.8     1957.3     338.5    20.9%  ok
2.10        4.00      639.6      746.7     107.0    16.7%  ok
2.11        4.00      535.2      625.1      89.9    16.8%  ok
7.2         3.99       76.2      145.7      69.5    91.1%  ok
6.10        3.97     1688.5     2189.7     501.2    29.7%  ok
6.12        3.97     1586.2     1997.5     411.3    25.9%  ok
6.26        3.97      182.8      465.8     283.0   154.8%  ok
6.9         3.97      355.8      498.5     142.7    40.1%  ok
6.25        3.97      110.9      227.8     116.8   105.3%  ok
7.21        3.96       79.3      165.0      85.7   108.1%  ok
6.30        3.94     1443.6     1716.2     272.6    18.9%  ok
6.18        3.92      613.9      917.9     304.0    49.5%  ok
6.3         3.76      477.7      496.3      18.6     3.9%  ok
6.29        3.73     2114.9     2350.5     235.6    11.1%  ok
6.28        3.73      511.5      776.8     265.2    51.9%  ok
6.14        3.61      614.5      865.8     251.3    40.9%  ok
2.12        2.99     4067.7     4790.4     722.7    17.8%  ok
11.1        0.46      155.7      171.1      15.4     9.9%  ok
11.2        0.46      906.8     1164.2     257.5    28.4%  ok
6.21        0.18      817.4      828.1      10.8     1.3%  ok
6.27        0.18      503.4      751.5     248.1    49.3%  ok

Overhang under 0.5 mm (arguably ignorable, sanding tolerance): 11.1 (0.46), 11.2 (0.46), 6.21 (0.18), 6.27 (0.18)
